No,UID,Tanggal,Waktu
213,0432004758,0,0:6:21
214,0819088244,0,0:6:23
215,0819362404,0,0:6:25
216,0819814964,0,0:6:26
217,0442660678,0,0:6:29
218,0431412326,0,0:6:31
219,0819502324,0,0:6:33
220,0431566886,0,0:6:34
221,0430931366,0,0:6:36
222,0818982084,0,0:6:38
223,0819519828,0,0:6:40
224,0819242020,0,0:6:41
225,0819700980,0,0:6:43
226,0819535188,0,0:6:50
227,0819653556,0,0:6:52
228,0819841300,0,0:6:56
229,0430993462,0,0:6:58
230,0818848996,0,0:7:0
231,0431736774,0,0:7:2
232,0442439910,0,0:7:3
233,0819249028,0,0:7:5
234,0818676868,0,0:7:7
235,0819599860,0,0:7:10
236,0438890742,0,0:7:11
237,0819252884,0,0:7:13
238,0442771382,0,0:7:15
239,0430807734,0,0:7:17
240,0430921686,0,0:7:18
241,0819429428,0,0:7:20
242,0819491012,0,0:7:22
243,0431013350,0,0:7:24
244,0819548564,0,0:7:25
245,0818788836,0,0:7:27
246,0819774100,0,0:7:29
247,0819176548,0,0:7:31
248,0819602036,0,0:7:33
249,0818676452,0,0:7:35
250,0441958774,0,0:7:36
251,0441608742,0,0:7:38
252,0442516310,0,0:7:40
253,0431448790,0,0:7:42
254,0431413974,0,0:7:43
255,0431644358,0,0:7:45
256,0431686102,0,0:7:47
257,0431992182,0,0:7:48
258,0431583094,0,0:7:50
259,0819540084,0,0:7:52
260,0819066532,0,0:7:54
261,0818719732,0,0:7:56
262,0442536054,0,0:7:58
263,0431324374,0,0:8:0
264,0819814676,0,0:8:2
265,0819362452,0,0:8:3
266,0442371958,0,0:8:6
267,0442151430,0,0:8:8
268,0431460198,0,0:8:10
269,0441949574,0,0:8:11
270,0441624054,0,0:8:13
271,0819784228,0,0:8:15
272,0442300806,0,0:8:19
273,0441734406,0,0:8:20
274,0431750870,0,0:8:22
275,0442543990,0,0:8:24
276,0442193638,0,0:8:25
277,0442472262,0,0:8:27
278,0442032118,0,0:8:29
279,0430751158,0,0:8:31
280,0430725526,0,0:8:33
281,0439301110,0,0:8:38
282,0819202868,0,0:8:40
283,0431779350,0,0:8:43
284,0818999060,0,0:8:45
285,0819926996,0,0:8:46
286,0819003764,0,0:8:48
287,0441876406,0,0:8:51
288,0819028420,0,0:8:53
289,0441708902,0,0:8:55
290,0819938948,0,0:8:57
291,0439393910,0,0:9:1
292,0431558534,0,0:9:5
293,0431180966,0,0:9:7
294,0439582198,0,0:9:8
295,0431757222,0,0:9:11
296,0431945766,0,0:9:13
297,0430750694,0,0:9:15
298,0442564566,0,0:9:17
299,0439847334,0,0:9:19
300,0441669638,0,0:9:22
301,0442307526,0,0:9:47
302,0431595718,0,0:9:48
303,0439552694,0,0:9:52
304,0431167158,0,0:9:54
305,0431934902,0,0:9:55
306,0819789140,0,0:9:57
307,0819290356,0,0:9:59
308,0819197604,0,0:10:1
309,0818873716,0,0:10:2
310,0819209700,0,0:10:4
311,0431733622,0,0:10:6
