No,UID,Tanggal,Waktu
927,0431819430,0,1:57:41
928,0431050982,0,1:57:43
929,0431983734,0,1:57:45
930,0431426358,0,1:57:51
931,0431028726,0,1:57:53
932,0431563158,0,1:57:55
933,0439268550,0,1:57:57
934,0431887190,0,1:57:59
935,0430816886,0,1:58:2
936,0431285686,0,1:58:13
937,0439369270,0,1:58:15
938,0431648694,0,1:58:18
939,0818735124,0,1:58:20
940,0430823590,0,1:58:22
941,0819731652,0,1:58:24
942,0439967446,0,1:58:27
943,0430734806,0,1:58:29
944,0431022534,0,1:58:31
945,0442141254,0,1:58:34
946,0431416758,0,1:58:36
947,0431158950,0,1:58:38
948,0441718182,0,1:58:41
949,0442766998,0,1:58:43
950,0819025716,0,1:58:45
951,0819861236,0,1:58:48
952,0431937798,0,1:58:50
953,0431423590,0,1:58:53
954,0818825556,0,1:58:55
955,0438928262,0,1:58:57
956,0819825604,0,1:58:59
957,0431373670,0,1:59:1
958,0438764854,0,1:59:4
959,0818819476,0,1:59:6
960,0430679174,0,1:59:8
961,0819535748,0,1:59:11
962,0431366326,0,1:59:14
963,0819368084,0,1:59:16
964,0818712788,0,1:59:18
965,0819887732,0,1:59:20
966,0819628388,0,1:59:23
967,0819187604,0,1:59:25
968,0819539956,0,1:59:27
969,0819736052,0,1:59:30
970,0431433958,0,1:59:32
971,0439528294,0,1:59:35
972,0818671348,0,1:59:37
973,0819127972,0,1:59:39
974,0431109846,0,1:59:41
975,0818762836,0,1:59:43
976,0818828292,0,1:59:45
977,0430856534,0,1:59:47
978,0819521364,0,1:59:50
979,0430683478,0,1:59:52
980,0431352486,0,1:59:54
981,0431910358,0,1:59:56
982,0442337542,0,1:59:59
983,0819007828,0,2:0:1
984,0431355814,0,2:0:3
985,0441626294,0,2:0:5
986,0431245734,0,2:0:7
987,0819383908,0,2:0:10
988,0431450038,0,2:0:12
989,0431030822,0,2:0:14
990,0819069252,0,2:0:17
991,0431768102,0,2:0:19
992,0819699572,0,2:0:22
993,0442586054,0,2:0:32
994,0441800630,0,2:0:34
995,0441552054,0,2:0:37
996,0442431126,0,2:0:39
997,0441846006,0,2:0:41
998,0441869206,0,2:0:44
999,0431799366,0,2:0:46
1000,0431950374,0,2:0:48
1001,0430945430,0,2:1:12
1002,0439674614,0,2:1:15
1003,0431029334,0,2:1:17
1004,0430917670,0,2:1:19
1005,0431551174,0,2:1:21
1006,0431230326,0,2:1:23
1007,0439861110,0,2:1:26
1008,0431373798,0,2:1:28
1009,0430978198,0,2:1:34
1010,0439499718,0,2:1:36
1011,0431468486,0,2:1:38
1012,0819500324,0,2:1:40
1013,0819388228,0,2:1:42
1014,0431833174,0,2:1:45
1015,0819154548,0,2:1:48
1016,0819116932,0,2:1:50
1017,0818908020,0,2:1:52
1018,0819806692,0,2:1:55
1019,0430983302,0,2:1:57
1020,0438954790,0,2:2:0
1021,0430722422,0,2:2:2
1022,0431560678,0,2:2:4
1023,0819705060,0,2:2:7
1024,0819003556,0,2:2:9
1025,0819722084,0,2:2:11
1026,0819155316,0,2:2:14
1027,0430851878,0,2:2:16
1028,0431972662,0,2:2:18
1029,0431707462,0,2:2:20
1030,0819340772,0,2:2:23
1031,0818742372,0,2:2:26
1032,0818714692,0,2:2:28
1033,0430699846,0,2:2:31
1034,0819669636,0,2:2:34
1035,0818678036,0,2:2:36
1036,0819283428,0,2:2:39
1037,0819510724,0,2:2:41
1038,0819360964,0,2:2:44
1039,0819028116,0,2:2:47
1040,0439460454,0,2:2:49
1041,0441518534,0,2:2:53
1042,0819311172,0,2:2:55
1043,0431249366,0,2:2:58
1044,0818967924,0,2:3:1
1045,0819496404,0,2:3:3
1046,0818950020,0,2:3:6
1047,0819682452,0,2:3:8
1048,0441934358,0,2:3:11
1049,0431176086,0,2:3:13
1050,0442697206,0,2:3:16
1051,0442645558,0,2:3:19
1052,0819133684,0,2:3:21
1053,0819884116,0,2:3:23
1054,0431695558,0,2:3:25
1055,0818905300,0,2:3:28
1056,0819290276,0,2:3:30
1057,0431779206,0,2:3:32
1058,0430698086,0,2:3:36
1059,0431914230,0,2:3:38
1060,0439123526,0,2:3:40
